material_id	material	brand_owner_id	brand_owner	brand_id	brand	subbrand_id	subbrand	subgroup_id	subgroup	pack_type_id	pact_type	pack_size_id	pack_size	pack_empty_id	pack_empty	category_id	category	line_id	line	subline_id	subline	product_id	product
40360	TUBORG 24 lattina 33cl x 4	0440	CARLSBERG	0647	TUBORG	0620	TUBORG	9001	CI-LAGER	0006	CAN	0072	CL  33	160	Vap	200	BIRRA	222	BIRRA CONF. CI	220	BIRRA TUBORG CF	0052	DANESI
40407	TUBORG Profile bt 66cl x6 POC	0440	CARLSBERG	0647	TUBORG	0620	TUBORG	9001	CI-LAGER	0003	VAP	0016	CL  66	160	Vap	200	BIRRA	222	BIRRA CONF. CI	220	BIRRA TUBORG CF	0052	DANESI
40662	IL BARDO DILETTO fusto 25L	0440	CARLSBERG	0144	IL BARDO	0937	DILETTO	0348	UVAGGIO	0007	FUSTO	0013	LT   25	220	Fusto	300	VINO	331	VINO FS GRUPPO CI	330	VINO FS IL BARDO	0056	VENETO
B002A	BAP 5 Luppoli Bock Chiara 24 bt 33clx3	0440	CARLSBERG	1077	BAP	1045	BAP 5	9003	CI-SPECIALTIES	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	223	BIRRA CONF. CI	220	BIRRA BAP CF	0061	NAZIONALI
B0033	IL BARDO VERDUZZO FUSTO 25L	0440	CARLSBERG	0144	IL BARDO	0644	VERDUZZO	0260	VERDUZZO	0007	FUSTO	0013	LT   25	220	Fusto	300	VINO	331	VINO FS GRUPPO CI	330	VINO FS IL BARDO	0056	VENETO
B004A	ELEPHANT 24 bt 33cl	0440	CARLSBERG	0701	CARLSBERG	1008	ELEPHANT	9003	CI-SPECIALTIES	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	221	BIRRA CONF. CI	220	BIRRA CARLSBERG CF	0052	DANESI
B01BE	CORONA EXTRA 24 bt 35.5x6	0440	CARLSBERG	0058	CORONA	0053	CORONA	0144	LAGER	0003	VAP	0095	CL  35,5	160	Vap	200	BIRRA	22A	BIRRA CONF. CI	220	BIRRA CORONA CF (CI)	0040	ALTRE EXTRA-EUR
B033A	CARLSBERG LAT 33 x24	0440	CARLSBERG	0701	CARLSBERG	0672	CARLSBERG	9001	CI-LAGER	0006	CAN	0072	CL  33	180	Lattina	200	BIRRA	221	BIRRA CONF. CI	220	BIRRA CARLSBERG CF	0052	DANESI
B034A	CARLSBERG 24 bt 33cl	0440	CARLSBERG	0701	CARLSBERG	0672	CARLSBERG	9001	CI-LAGER	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	221	BIRRA CONF. CI	220	BIRRA CARLSBERG CF	0052	DANESI
B035A	CARLSBERG 15 bt 66cl	0440	CARLSBERG	0701	CARLSBERG	0672	CARLSBERG	9001	CI-LAGER	0003	VAP	0016	CL  66	160	Vap	200	BIRRA	221	BIRRA CONF. CI	220	BIRRA CARLSBERG CF	0052	DANESI
